N;Periodi;Inflazione annua;Inflazione mensile;Inflazione Media (Valore parziale);Indice Dal;Indice Al;
191;Novembre-2014  Novembre-2015;0,1%;-0,4%;2%;107,2;107,3;
192;Dicembre-2014  Dicembre-2015;0,1%;0,0%;2%;107,2;107,3;
193;Gennaio-2015  Gennaio-2016;0,3%;-0,2%;2%;106,8;99,6;
194;Febbraio-2015  Febbraio-2016;-0,3%;-0,2%;2%;107,2;99,4;
195;Marzo-2015  Marzo-2016;-0,2%;0,2%;2%;107,3;99,6;
196;Aprile-2015  Aprile-2016;-0,5%;-0,1%;1,9%;107,5;99,5;
197;Maggio-2015  Maggio-2016;-0,3%;0,3%;1,9%;107,6;99,8;
198;Giugno-2015  Giugno-2016;-0,4%;0,1%;1,9%;107,8;99,9;
199;Luglio-2015  Luglio-2016;-0,1%;0,2%;1,9%;107,7;100,1;
200;Agosto-2015  Agosto-2016;-0,1%;0,2%;1,9%;107,9;100,3;
201;Settembre-2015  Settembre-2016;0,1%;-0,2%;1,9%;107,5;100,1;
202;Ottobre-2015  Ottobre-2016;-0,2%;-0,1%;1,9%;107,7;100;
203;Novembre-2015  Novembre-2016;0,1%;-0,1%;1,9%;107,3;99,9;
204;Dicembre-2015  Dicembre-2016;0,5%;0,4%;1,9%;107,3;100,3;
205;Gennaio-2016  Gennaio-2017;1,0%;0,3%;1,9%;99,6;100,6;
206;Febbraio-2016  Febbraio-2017;1,6%;0,4%;1,9%;99,4;101;
207;Marzo-2016  Marzo-2017;1,4%;0,0%;1,9%;99,6;101;
208;Aprile-2016  Aprile-2017;1,9%;0,4%;1,9%;99,5;101,4;
209;Maggio-2016  Maggio-2017;1,4%;-0,2%;1,9%;99,8;101,2;
210;Giugno-2016  Giugno-2017;1,2%;-0,1%;1,9%;99,9;101,1;
211;Luglio-2016  Luglio-2017;1,1%;0,1%;1,9%;100,1;101,2;
212;Agosto-2016  Agosto-2017;1,2%;0,3%;1,9%;100,3;101,5;
213;Settembre-2016  Settembre-2017;1,1%;-0,3%;1,9%;100,1;101,2;
214;Ottobre-2016  Ottobre-2017;1,0%;-0,2%;1,9%;100;101;
215;Novembre-2016  Novembre-2017;0,9%;-0,2%;1,9%;99,9;100,8;
216;Dicembre-2016  Dicembre-2017;0,9%;0,4%;1,8%;100,3;101,2;
217;Gennaio-2017  Gennaio-2018;0,9%;0,3%;1,8%;100,6;101,5;
218;Febbraio-2017  Febbraio-2018;0,5%;0,0%;1,8%;101;101,5;
219;Marzo-2017  Marzo-2018;0,8%;0,3%;1,8%;101;101,8;
220;Aprile-2017  Aprile-2018;0,5%;0,1%;1,8%;101,4;101,9;
221;Maggio-2017  Maggio-2018;1,0%;0,3%;1,8%;101,2;102,2;
222;Giugno-2017  Giugno-2018;1,3%;0,2%;1,8%;101,1;102,4;
223;Luglio-2017  Luglio-2018;1,5%;0,3%;1,8%;101,2;102,7;
224;Agosto-2017  Agosto-2018;1,6%;0,4%;1,8%;101,5;103,1;
225;Settembre-2017  Settembre-2018;1,4%;-0,5%;1,8%;101,2;102,6;
226;Ottobre-2017  Ottobre-2018;1,6%;0,0%;1,8%;101;102,6;
227;Novembre-2017  Novembre-2018;1,6%;-0,2%;1,8%;100,8;102,4;
228;Dicembre-2017  Dicembre-2018;1,1%;-0,1%;1,8%;101,2;102,3;
229;Gennaio-2018  Gennaio-2019;0,9%;0,1%;1,8%;101,5;102,4;
230;Febbraio-2018  Febbraio-2019;1,0%;0,1%;1,8%;101,5;102,5;
231;Marzo-2018  Marzo-2019;1,0%;0,3%;1,8%;101,8;102,8;
232;Aprile-2018  Aprile-2019;1,1%;0,2%;1,8%;101,9;103;
233;Maggio-2018  Maggio-2019;0,8%;0,0%;1,8%;102,2;103;
234;Giugno-2018  Giugno-2019;0,7%;0,1%;1,8%;102,4;103,1;
235;Luglio-2018  Luglio-2019;0,4%;0,0%;1,8%;102,7;103,1;
236;Agosto-2018  Agosto-2019;0,4%;0,4%;1,8%;103,1;103,5;
237;Settembre-2018  Settembre-2019;0,3%;-0,6%;1,8%;102,6;102,9;
238;Ottobre-2018  Ottobre-2019;0,2%;-0,1%;1,8%;102,6;102,8;
239;Novembre-2018  Novembre-2019;0,2%;-0,2%;1,8%;102,4;102,6;
240;Dicembre-2018  Dicembre-2019;0,5%;0,2%;1,8%;102,3;102,8;
